year,emissions_total
1750,9305937
1751,9407229
1752,9505168
1753,9610490
1754,9733580
1755,9793468
1756,9909914
1757,10093936
1758,10216358
1759,10338854
1760,10514331
1761,10747885
1762,10952198
1763,11191592
1764,11396982
1765,11643486
1766,11876080
1767,12152509
1768,12466936
1769,12780074
1770,13097216
1771,13369488
1772,13623507
1773,13808138
1774,14012415
1775,14338920
1776,14654124
1777,14959537
1778,15243483
1779,15535235
1780,15878726
1781,16234383
1782,16580954
1783,17062752
1784,17471092
1785,17965128
1786,18447496
1787,18859130
1788,19286228
1789,19863424
1790,20398094
1791,20931750
1792,21929214
1793,22297260
1794,22519656
1795,22315246
1796,22121374
1797,22090078
1798,23105928
1799,27485206
1800,32798352
1801,31986050
1802,40310476
1803,29538506
1804,31769176
1805,31251818
1806,32704620
1807,36200652
1808,35497788
1809,36333812
1810,39492310
1811,40176680
1812,40814520
1813,41206140
1814,42226650
1815,43587264
1816,45496580
1817,49275920
1818,51392010
1819,50930170
1820,50733076
1821,52059348
1822,54021710
1823,56357760
1824,57583636
1825,60730864
1826,61382130
1827,65738572
1828,66681790
1829,66307412
1830,88988500
1831,83250904
1832,82091750
1833,83248940
1834,88763100
1835,97399600
1836,106894500
1837,106199420
1838,105845260
1839,109653030
1840,118808510
1841,122165550
1842,129388790
1843,132369384
1844,141966450
1845,155073400
1846,157701780
1847,170796750
1848,173643470
1849,185048030
1850,196847600
1851,198778540
1852,207595090
1853,217236980
1854,255038560
1855,260259860
1856,278245630
1857,281181060
1858,285548380
1859,302572160
1860,332298430
1861,349190140
1862,355991070
1863,379534880
1864,409525400
1865,434851330
1866,449067000
1867,480813900
1868,494493540
1869,524731070
1870,536123300
1871,569776640
1872,630961500
1873,670467200
1874,628662200
1875,681048000
1876,690582500
1877,704032830
1878,709649540
1879,759794370
1880,858227800
1881,888172540
1882,938158100
1883,997862460
1884,1009762000
1885,1017489150
1886,1032987300
1887,1084283300
1888,1201341700
1889,1202097500
1890,1307255600
1891,1369598300
1892,1380536200
1893,1363179500
1894,1412227300
1895,1495963900
1896,1545450800
1897,1618405200
1898,1706966500
1899,1864424200
1900,1962883800
1901,2025628200
1902,2076956000
1903,2264592000
1904,2290254800
1905,2440570600
1906,2548978200
1907,2904949200
1908,2790395100
1909,2907111700
1910,3050273000
1911,3097207300
1912,3253928700
1913,3524845800
1914,3197750000
1915,3148030700
1916,3400232200
1917,3556498400
1918,3506084600
1919,3041113000
1920,3546758000
1921,3114994000
1922,3264716800
1923,3702996000
1924,3716142600
1925,3740632800
1926,3677406700
1927,4012946700
1928,3996310500
1929,4288210000
1930,3958094600
1931,3539318800
1932,3192590000
1933,3362682000
1934,3656185600
1935,3835740700
1936,4207928800
1937,4496713000
1938,4229616600
1939,4470132000
1940,4884662000
1941,4999090000
1942,4982523400
1943,5075272700
1944,5162486000
1945,4289311500
1946,4608545300
1947,5165203500
1948,5447883000
1949,5204032500
1950,5930406000
1951,6381651000
1952,6467699700
1953,6651039000
1954,6789734000
1955,7444102700
1956,7926275000
1957,8185976300
1958,8417516500
1959,8855113000
1960,9386952000
1961,9414990000
1962,9747241000
1963,10266778000
1964,10824470000
1965,11310602000
1966,11862625000
1967,12237371000
1968,12905273000
1969,13761798000
1970,14899139000
1971,15503863000
1972,16224580000
1973,17077285000
1974,16997913000
1975,16988476000
1976,17862492000
1977,18358039000
1978,19024742000
1979,19508590000
1980,19409793000
1981,18879756000
1982,18729742000
1983,18901776000
1984,19457250000
1985,20144863000
1986,20438045000
1987,21106190000
1988,21918757000
1989,22200214000
1990,22732145000
1991,23205591000
1992,22520424000
1993,22749872000
1994,22974597000
1995,23516640000
1996,24233476000
1997,24380322000
1998,24295713000
1999,24837771000
2000,25511483000
2001,25692994000
2002,26265332000
2003,27652692000
2004,28610023000
2005,29598951000
2006,30594152000
2007,31499256000
2008,32049660000
2009,31513014000
2010,33317670000
2011,34479990000
2012,34954736000
2013,35275820000
2014,35465695000
2015,35403526000
2016,35392830000
2017,35974610000
2018,36734005000
2019,37086570000
2020,35158230000
2021,36866863000
2022,37527773000
2023,38094040000
2024,38598580000
