entity,year,gdp_per_capita
East Germany,1950,2102.0
East Germany,1951,2269.619
East Germany,1952,2437.238
East Germany,1953,2604.857
East Germany,1954,2772.476
East Germany,1955,2940.095
East Germany,1956,3137.4446
East Germany,1957,3334.7942
East Germany,1958,3532.1438
East Germany,1959,3729.4934
East Germany,1960,3927.0
East Germany,1961,3982.0
East Germany,1962,4122.0
East Germany,1963,4241.0
East Germany,1964,4347.0
East Germany,1965,4509.0
East Germany,1966,4637.0
East Germany,1967,4780.0
East Germany,1968,4997.0
East Germany,1969,5117.0
East Germany,1970,5254.0
East Germany,1971,5371.0
East Germany,1972,5558.0
East Germany,1973,5753.0
East Germany,1974,6048.0
East Germany,1975,6300.0
East Germany,1976,6451.0
East Germany,1977,6657.0
East Germany,1978,6774.0
East Germany,1979,6967.0
East Germany,1980,7118.0
East Germany,1981,7264.0
East Germany,1982,7241.0
East Germany,1983,7393.0
East Germany,1984,7617.0
East Germany,1985,7866.0
East Germany,1986,7989.0
East Germany,1987,8116.0
East Germany,1988,8192.0
East Germany,1989,8422.0
West Germany,1950,4281.0
West Germany,1951,4651.0
West Germany,1952,5046.0
West Germany,1953,5439.0
West Germany,1954,5797.0
West Germany,1955,6431.0
West Germany,1956,6839.0
West Germany,1957,7154.0
West Germany,1958,7378.0
West Germany,1959,7868.0
West Germany,1960,8464.0
West Germany,1961,8729.0
West Germany,1962,9023.0
West Germany,1963,9184.0
West Germany,1964,9697.0
West Germany,1965,10105.0
West Germany,1966,10299.0
West Germany,1967,10243.0
West Germany,1968,10772.0
West Germany,1969,11465.0
West Germany,1970,11934.0
West Germany,1971,12162.0
West Germany,1972,12604.0
West Germany,1973,13153.0
West Germany,1974,13172.0
West Germany,1975,13034.0
West Germany,1976,13798.0
West Germany,1977,14219.0
West Germany,1978,14664.0
West Germany,1979,15257.0
West Germany,1980,15371.0
West Germany,1981,15356.0
West Germany,1982,15224.0
West Germany,1983,15546.0
West Germany,1984,16048.0
West Germany,1985,16413.0
West Germany,1986,16787.0
West Germany,1987,17033.0
West Germany,1988,17560.0
West Germany,1989,18016.0
