country,year,gdp_per_capita
China,1000,1225.107
China,1090,1221.711
China,1150,1180.959
China,1400,1404.246
China,1410,1414.0
China,1420,1412.0
China,1430,1498.0
China,1440,1458.0
China,1450,1375.38
China,1460,1324.0
China,1470,1341.0
China,1480,1242.0
China,1490,1189.0
China,1500,1207.278
China,1510,1274.0
China,1520,1166.0
China,1530,1187.0
China,1540,1193.0
China,1550,1195.0
China,1560,1200.0
China,1570,1237.842
China,1580,1217.0
China,1590,1217.0
China,1600,1217.466
China,1610,1282.0
China,1620,1262.0
China,1661,1330.0
China,1685,1280.0
China,1690,1413.0
China,1700,1542.633
China,1710,1406.0
China,1720,1312.0
China,1724,1170.0
China,1730,1234.0
China,1740,1158.0
China,1750,1061.25
China,1760,1022.0
China,1766,991.0
China,1770,998.0
China,1780,981.0
China,1790,955.0
China,1800,926.259
China,1810,901.0
China,1820,882.0
China,1830,846.0
China,1840,849.0
China,1850,858.0
China,1870,945.0
China,1887,912.0
China,1890,964.0
China,1900,972.0
China,1911,905.0
China,1913,985.0
China,1929,1003.0
China,1930,1012.0
China,1931,1015.0
China,1932,1039.0
China,1933,923.0
China,1934,937.0
China,1935,1007.0
China,1936,1065.0
China,1937,1034.0
China,1938,1003.0
China,1950,799.0
China,1951,950.0
China,1952,1047.0
China,1953,1157.0
China,1954,1049.0
China,1955,1119.0
China,1956,1189.0
China,1957,1195.0
China,1958,1173.0
China,1959,1117.0
China,1960,1057.0
China,1961,874.0
China,1962,926.0
China,1963,1034.0
China,1964,1152.0
China,1965,1253.0
China,1966,1261.0
China,1967,1237.0
China,1968,1178.0
China,1969,1264.0
China,1970,1398.0
China,1971,1446.0
China,1972,1431.0
China,1973,1513.0
China,1974,1519.0
China,1975,1594.0
China,1976,1519.0
China,1977,1583.0
China,1978,1744.0
China,1979,1859.0
China,1980,1930.0
China,1981,1962.0
China,1982,2128.0
China,1983,2227.0
China,1984,2444.0
China,1985,2619.0
China,1986,2748.0
China,1987,2931.0
China,1988,3045.0
China,1989,3022.0
China,1990,2982.0
China,1991,3051.3152
China,1992,3227.7441
China,1993,3506.48
China,1994,3730.164
China,1995,3999.7292
China,1996,4219.644
China,1997,4310.828
China,1998,4309.847
China,1999,4466.7363
China,2000,4730.3545
China,2001,4995.1445
China,2002,5343.1123
China,2003,5649.4634
China,2004,6067.5913
China,2005,6626.592
China,2006,7271.0356
China,2007,7895.713
China,2008,8190.1123
China,2009,8734.041
China,2010,9658.419
China,2011,10221.0
China,2012,10946.834
China,2013,11731.295
China,2014,12515.198
China,2015,13325.432
China,2016,14138.955
China,2017,15030.447
China,2018,15977.008
China,2019,16879.54
China,2020,17225.969
China,2021,18666.605
China,2022,19238.18
India,1600,1264.0
India,1650,1189.0
India,1700,1162.0
India,1750,1068.0
India,1801,1033.0
India,1811,983.0
India,1821,937.0
India,1831,945.0
India,1841,944.0
India,1850,947.0
India,1851,947.0
India,1861,896.0
India,1870,850.0
India,1884,878.0
India,1885,904.0
India,1886,874.0
India,1887,912.0
India,1888,918.0
India,1889,891.0
India,1890,931.0
India,1891,843.0
India,1892,910.0
India,1893,931.0
India,1894,944.0
India,1895,920.0
India,1896,850.0
India,1897,1004.0
India,1898,1004.0
India,1899,925.0
India,1900,955.0
India,1901,969.0
India,1902,1044.0
India,1903,1052.0
India,1904,1050.0
India,1905,1025.0
India,1906,1047.0
India,1907,979.0
India,1908,987.0
India,1909,1116.0
India,1910,1111.0
India,1911,1101.0
India,1912,1098.0
India,1913,1073.0
India,1914,1130.0
India,1915,1101.0
India,1916,1132.0
India,1917,1111.0
India,1918,968.0
India,1919,1100.0
India,1920,1012.0
India,1921,1082.0
India,1922,1117.0
India,1923,1070.0
India,1924,1111.0
India,1925,1113.0
India,1926,1137.0
India,1927,1125.0
India,1928,1125.0
India,1929,1160.0
India,1930,1157.0
India,1931,1133.0
India,1932,1130.0
India,1933,1116.0
India,1934,1111.0
India,1935,1084.0
India,1936,1111.0
India,1937,1078.0
India,1938,1065.0
India,1939,1074.0
India,1940,1093.0
India,1941,1101.0
India,1942,1082.0
India,1943,1113.0
India,1944,1089.0
India,1945,1058.0
India,1946,991.0
India,1947,985.0
India,1948,983.0
India,1949,995.0
India,1950,987.0
India,1951,993.0
India,1952,1003.0
India,1953,1047.0
India,1954,1071.0
India,1955,1078.0
India,1956,1117.0
India,1957,1084.0
India,1958,1141.0
India,1959,1143.0
India,1960,1200.0
India,1961,1208.0
India,1962,1208.0
India,1963,1242.0
India,1964,1309.0
India,1965,1229.0
India,1966,1215.0
India,1967,1286.0
India,1968,1290.0
India,1969,1347.0
India,1970,1384.0
India,1971,1364.0
India,1972,1329.0
India,1973,1360.0
India,1974,1344.0
India,1975,1430.0
India,1976,1417.0
India,1977,1494.0
India,1978,1540.0
India,1979,1427.0
India,1980,1495.0
India,1981,1557.0
India,1982,1570.0
India,1983,1663.0
India,1984,1690.0
India,1985,1720.0
India,1986,1755.0
India,1987,1793.0
India,1988,1938.0
India,1989,2024.0
India,1990,2087.0
India,1991,2062.3103
India,1992,2115.2573
India,1993,2176.4277
India,1994,2254.899
India,1995,2355.9631
India,1996,2475.568
India,1997,2514.0217
India,1998,2611.7815
India,1999,2707.7407
India,2000,2753.0854
India,2001,2837.8555
India,2002,2870.9236
India,2003,3035.9226
India,2004,3212.511
India,2005,3396.6487
India,2006,3629.4111
India,2007,3870.699
India,2008,4030.6543
India,2009,4270.708
India,2010,4525.7456
India,2011,4768.0
India,2012,4982.083
India,2013,5224.1445
India,2014,5524.1147
India,2015,5869.8467
India,2016,6326.0645
India,2017,6638.7275
India,2018,7046.4365
India,2019,7293.9897
India,2020,6730.547
India,2021,7315.1216
India,2022,7765.593
Mexico,1550,574.0
Mexico,1570,606.0
Mexico,1595,746.0
Mexico,1596,752.0
Mexico,1597,740.0
Mexico,1598,741.0
Mexico,1599,767.0
Mexico,1600,799.0
Mexico,1601,811.0
Mexico,1602,821.0
Mexico,1603,835.0
Mexico,1604,853.0
Mexico,1605,867.0
Mexico,1606,891.0
Mexico,1607,907.0
Mexico,1608,936.0
Mexico,1609,964.0
Mexico,1610,976.0
Mexico,1611,979.0
Mexico,1612,1003.0
Mexico,1613,1009.0
Mexico,1614,1004.0
Mexico,1615,999.0
Mexico,1616,993.0
Mexico,1617,996.0
Mexico,1618,1001.0
Mexico,1619,987.0
Mexico,1620,1003.0
Mexico,1621,1014.0
Mexico,1622,1023.0
Mexico,1623,1022.0
Mexico,1624,1015.0
Mexico,1625,1022.0
Mexico,1626,1050.0
Mexico,1627,1079.0
Mexico,1628,1078.0
Mexico,1629,1089.0
Mexico,1630,1121.0
Mexico,1631,1121.0
Mexico,1632,1117.0
Mexico,1633,1119.0
Mexico,1634,1117.0
Mexico,1635,1137.0
Mexico,1636,1152.0
Mexico,1637,1129.0
Mexico,1638,1098.0
Mexico,1639,1092.0
Mexico,1640,1090.0
Mexico,1641,1090.0
Mexico,1642,1092.0
Mexico,1643,1090.0
Mexico,1644,1087.0
Mexico,1645,1081.0
Mexico,1646,1078.0
Mexico,1647,1089.0
Mexico,1648,1117.0
Mexico,1649,1146.0
Mexico,1650,1172.0
Mexico,1651,1164.0
Mexico,1652,1167.0
Mexico,1653,1165.0
Mexico,1654,1165.0
Mexico,1655,1168.0
Mexico,1656,1162.0
Mexico,1657,1146.0
Mexico,1658,1148.0
Mexico,1659,1157.0
Mexico,1660,1172.0
Mexico,1661,1181.0
Mexico,1662,1180.0
Mexico,1663,1176.0
Mexico,1664,1216.0
Mexico,1665,1278.0
