year,anomaly
1000,0.0030465
1001,-0.006229
1002,-0.014937
1003,-0.022072
1004,-0.027126
1005,-0.030245
1006,-0.032083
1007,-0.03342
1008,-0.034744
1009,-0.035978
1010,-0.036503
1011,-0.035484
1012,-0.032357
1013,-0.027283
1014,-0.021349
1015,-0.016398
1016,-0.014509
1017,-0.017293
1018,-0.025239
1019,-0.03736
1020,-0.051282
1021,-0.063798
1022,-0.071728
1023,-0.07284
1024,-0.066562
1025,-0.054256
1026,-0.03897
1027,-0.024713
1028,-0.015467
1029,-0.014181
1030,-0.022022
1031,-0.038077
1032,-0.059563
1033,-0.082483
1034,-0.10254
1035,-0.11609
1036,-0.12087
1037,-0.11638
1038,-0.10385
1039,-0.085764
1040,-0.065213
1041,-0.045119
1042,-0.027619
1043,-0.013703
1044,-0.0031992
1045,0.0049089
1046,0.011943
1047,0.018922
1048,0.026086
1049,0.032694
1050,0.037207
1051,0.037801
1052,0.033084
1053,0.022783
1054,0.0081403
1055,-0.0081582
1056,-0.022582
1057,-0.031744
1058,-0.033505
1059,-0.02781
1060,-0.01696
1061,-0.005138
1062,0.0027109
1063,0.0023532
1064,-0.0083771
1065,-0.028785
1066,-0.055374
1067,-0.082772
1068,-0.10525
1069,-0.11834
1070,-0.12008
1071,-0.11146
1072,-0.095944
1073,-0.078338
1074,-0.063312
1075,-0.054131
1076,-0.051933
1077,-0.055754
1078,-0.06317
1079,-0.071296
1080,-0.077746
1081,-0.081243
1082,-0.081739
1083,-0.080092
1084,-0.077499
1085,-0.074961
1086,-0.072997
1087,-0.071695
1088,-0.071037
1089,-0.07131
1090,-0.073384
1091,-0.078694
1092,-0.088878
1093,-0.10519
1094,-0.1279
1095,-0.15591
1096,-0.18681
1097,-0.21735
1098,-0.24426
1099,-0.26515
1100,-0.27921
1101,-0.28749
1102,-0.29256
1103,-0.29773
1104,-0.30606
1105,-0.31932
1106,-0.33743
1107,-0.35838
1108,-0.37871
1109,-0.3945
1110,-0.40242
1111,-0.40065
1112,-0.38942
1113,-0.37095
1114,-0.3489
1115,-0.32747
1116,-0.3104
1117,-0.30013
1118,-0.29727
1119,-0.30059
1120,-0.30737
1121,-0.31408
1122,-0.31721
1123,-0.31407
1124,-0.30335
1125,-0.28539
1126,-0.26212
1127,-0.23665
1128,-0.2126
1129,-0.19339
1130,-0.18154
1131,-0.17819
1132,-0.18289
1133,-0.19372
1134,-0.20785
1135,-0.2221
1136,-0.23378
1137,-0.24126
1138,-0.24433
1139,-0.24423
1140,-0.24328
1141,-0.24421
1142,-0.24943
1143,-0.26038
1144,-0.2771
1145,-0.29825
1146,-0.32137
1147,-0.34355
1148,-0.36206
1149,-0.37493
1150,-0.38128
1151,-0.38133
1152,-0.37618
1153,-0.36739
1154,-0.35665
1155,-0.34544
1156,-0.33495
1157,-0.326
1158,-0.31912
1159,-0.31457
1160,-0.31233
1161,-0.31203
1162,-0.3129
1163,-0.31378
1164,-0.31325
1165,-0.30988
1166,-0.30255
1167,-0.2907
1168,-0.27455
1169,-0.25504
1170,-0.23372
1171,-0.21238
1172,-0.19279
1173,-0.1764
1174,-0.16424
1175,-0.15687
1176,-0.15456
1177,-0.1574
1178,-0.16541
1179,-0.17856
1180,-0.19659
1181,-0.21889
1182,-0.24424
1183,-0.27086
1184,-0.29644
1185,-0.3186
1186,-0.33527
1187,-0.34516
1188,-0.34806
1189,-0.34483
1190,-0.33706
1191,-0.32656
1192,-0.31479
1193,-0.30241
1194,-0.28921
1195,-0.27436
1196,-0.25705
1197,-0.23709
1198,-0.21537
1199,-0.19399
1200,-0.1758
1201,-0.1637
1202,-0.15974
1203,-0.16439
1204,-0.1763
1205,-0.19261
1206,-0.20973
1207,-0.22431
1208,-0.23417
1209,-0.23871
1210,-0.23889
1211,-0.23656
1212,-0.23365
1213,-0.23137
1214,-0.22977
